org_name,last_updated,neighborhood,address,latitude,longitude,site_updates,currently_open_for_receiving,opening_for_receiving,closing_for_receiving,currently_open_for_distributing,opening_for_distributing,closing_for_distributing,urgent_need,accepting,not_accepting,seeking_volunteers,seeking_translators,hot_meals,legal_support,covid_testing,pet_vaccination_health,pet_food,housing_support,food_delivery,wheelchair_accessible,elder,youth,baby_toddler,immigration_naturalization,eye_exams,dental,transportation_vouchers,clothing,insurance_not_needed,refugee_services,vaccinations_general,mental_health_services,healing_resources,art_resources,community_service,education,lgbtqia_supportive,qtibpoc_supportive,trans_supportive,black_run,indigenous_owned,community_run,spanish_speaking,somali_speaking,karen_speaking,memorial_space,medic_on_site,protest,seeking_money,seeking_money_url,delivery_only,distribution_to_residents_only,restricted_distribution,produce,household_supplies,needle_exchange,warming_site,no_id_needed,some_info_required,by_appointment,black_own,indigenous_run,public_transit,COVID_Vaccination
St. Vincent De Paul Twin Cities,9/12/2022 7:06pm,Phillips,"2939 12th Ave S, Minneapolis, MN 55407",44.9489477,-93.2571840,"Weekly grocery giveaway
Wednesdays 10:30am-12:00pm or until supplies are gone, weather permitting. 

Accepting donations 
Monday- Friday 10:30 am to 5:00 pm
Saturdays 10:30 am to 3:30 pm",no,----,,no,----,,"Personal care items:
Baby powder, body wash, cotton swabs, deodorant, facial cleanser facial tissue, hand soap, hair care products, laundry detergent lip balm, lip gloss, lotion, moisturizers, nail files, paper towels, perfumers, razors, shaving cream, shampoo and conditioner, toilet paper, toothbrushes, toothpaste, wet wipes

Dry goods (in-date, undamaged, and labeled)
Baked beans, Canned Tuna, Chicken, Ham or Salmon, Chili
Peanut butter, Soup
-
Cereal, Flour/ Masa Cornmeal, Pasta of all types, Rice (brown and white), Instant Ready Meals, Macaroni & Cheese, Crackers
-
Canned fruit, Can vegetables (low/no sodium), Jelly, Spaghetti/Pasta Sauce, Tomatoes (diced, whole, paste)
-
Coffee and Tea, Condiments (ketchup, mustard, mayo,
salsa, fish sauce, salad dressing), Cooking oil/olive oil/ vinegar, Salt & Pepper
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,checked,,,,,21-BUS-(1 block),
The People's Laundry MPLS: 12th Ave S.,10/5/2022 10:05am,Bancroft,"3828 12th Ave S, Minneapolis, MN 55407",44.9332086,-93.2577536,"If you or someone you know are in need of laundry assistance:
- Send an email to thepeopleslaundrympls@gmail.com, 
- DM on Instagram @thepeopleslaundrympls, or 
- Fill out the services request form here: https://thepeopleslaundrympls.com/request-service/ 
to get in touch.

Volunteers needed!
As new houseless encampments reach out to us for laundry support, we find our biggest gap in capacity is in having enough folks that can drive!

https://thepeopleslaundrympls.com/volunteer/ 
https://www.instagram.com/thepeopleslaundrympls ",no,----,,no,----,,,"(as of 7/27 4:30pm)  laundry soap, dryer sheets, other washing things like oxyclean",,"(as of 4/6)  Yes.
Whether you have capacity to help with something twice a week or once every other month - we can use you!

In-Person Opportunities:
- Drive laundry from community members in need to laundry volunteers & back.
- Wash/dry/fold laundry.
- Table at local events to get more volunteers.
- Go thrifting for different clothing needs.
- Help with random transport needs.

Virtual Opportunities
- Help manage social media accounts.
- Help coordinate volunteers for individual laundry needs.
- Help with communication on Signal.
- Help fundraise.

Website: https://thepeopleslaundrympls.com/volunteer/ ",,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,checked,,,"14-BUS-(3 blocks),23-BUS-(3 blocks)",
The People's Laundry MPLS: 17th Ave S.,10/5/2022 10:05am,Ventura Village,"2210 17th Ave S, Minneapolis, MN 55404",44.9604585,-93.2501696,"If you or someone you know are in need of laundry assistance:
- Send an email to thepeopleslaundrympls@gmail.com, 
- DM on Instagram @thepeopleslaundrympls, or 
- Fill out the services request form here: https://thepeopleslaundrympls.com/request-service/ 
to get in touch.

Volunteers needed!
As new houseless encampments reach out to us for laundry support, we find our biggest gap in capacity is in having enough folks that can drive!

https://thepeopleslaundrympls.com/volunteer/ 
https://www.instagram.com/thepeopleslaundrympls ",no,----,,no,----,,,"(as of 9/20) laundry soap, dryer sheets, other washing things like oxyclean",,"(as of 4/6)  Yes.
Whether you have capacity to help with something twice a week or once every other month - we can use you!

In-Person Opportunities:
- Drive laundry from community members in need to laundry volunteers & back.
- Wash/dry/fold laundry.
- Table at local events to get more volunteers.
- Go thrifting for different clothing needs.
- Help with random transport needs.

Virtual Opportunities
- Help manage social media accounts.
- Help coordinate volunteers for individual laundry needs.
- Help with communication on Signal.
- Help fundraise.

Website: https://thepeopleslaundrympls.com/volunteer/ ",,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,checked,,,14-BUS-(3 blocks),
Tubman Center East,4/10/2024 11:47am,,"1725 Monastery Way, Maplewood, MN 55109",44.9935820,-92.9862460,"Donations Accepted:
Monday-Thursday: 8am-5pm
Friday: 8am-3pm

Due to the COVID-19 pandemic and to protect the health and wellness of our clients and staff all donated items must be new, unopened, and unused. If you have questions please call our business line at 612.825.3333. Special arrangements and questions may be made by calling 612.825.3333 or emailing give@tubman.org. 

Tubman provides comprehensive services to serve families and individuals across the Twin Cities. We can help with crisis situations through our 24-hour resource line (612.825.0000) and shelter services. We will also support clients through their long-term healing processes and help them overcome barriers through our core service areas: shelter and housing, mental and chemical health, legal services, youth programs, and workshops and support groups.

https://www.facebook.com/tubman.org 
https://www.tubman.org/ ",no,----,,no,----,,,"(as of 04/2023)
Items for spring self-care drive (for parents and kids) - see list here: https://www.tubman.org/give-help/ways-to-give/spring-drive.html

Year-round needs:
Basic Needs: Disinfecting wipes, twin and full sheet sets (new), twin and full blankets (new), towels and washcloths (new), pillows (new), baby bottles (4oz and 8oz), sippy cups, backpacks, flashlights and batteries, water bottles (24oz-48oz), ear buds/headhpones, reusable shopping bags/grocery bags, gas cards, bus cards, Uber/Lyft gift cards, Boost mobile cards

Personal Care: New, Full Size and Unopened:
shower caddies, body wash (Dove, Softsoap), toothpaste (adults and kids), silk or satin hair caps, African American hair care products, combs (wide tooth & detangling), brushes for various hair types, shampoo, conditioner, hair ties, deodorant (full size), lotion (full size) 

Additional Needs:
18 gallon storage totes with lids, grocery cards (denominations $20-$40), sheets of stamps, copy paper (unopened reams - white and colored), pens (ballpoint - black and blue), Sharpies (fine point black, green, red), paper clips (any size), binder clips (any size), post-its (3""x3"" in any color; 4""x6"" in pink, blue, and orange), file folders (manila, letter size, 1/3 tab), mouse pads (approx. 8""x9"", any color), banker boxes (standard duty, 15""x12""x10"")
","Items for donation should be new and/or unopened; for personal care items such as shampoos and conditioners, full-sized bottles are preferred.
Please keep in mind we cannot accept certain used items like furniture or used baby equipment, and are unable to pick up or deliver items.
At this time, we are not accepting children's toys, clothing, or equipment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219-BUS-(1 block),
VEAP (Volunteers Enlisted to Assist People) ,7/5/2023 10:16am,South Suburbs,"9600 Aldrich Avenue S, Bloomington, MN 55420",44.8294378,-93.2905898,"Your first step, whether you need food, resources for your children, or simply to speak with our Social Services team is to call us at 952-888-9616. Volunteers will gather information and explain VEAP’s programs. Our call intake center is open Monday – Friday from 9:00 a.m. – 4:30 p.m.

Drop-offs 
M-F 9:00am-4:30pm, no appointment needed; pull around to door 4.

Serves residents of Edina, Richfield, Bloomington, and Minneapolis south of 50th St./west of Cedar. You will need a photo ID and a piece of mail (like a utility bill) that shows your address. 

VEAP’s On-site Food Pantry offers a visitor-choice model; you visit the pantry, you are able to select the food you know your family will use and enjoy. Receive up to 18 household visits per year, including 12 monthly full pantry visits and 6 supplemental produce visits (produce plus 10 items from the non-perishable, meats, dairy and eggs section). 

VEAP offers a variety of fresh foods, including fruits and vegetables, an assortment of meats, and dairy, as well as basic food staples, like rice, beans, cereals, and canned products, daily.

Also is a partner of People & Pets Together that helps families facing economic hardship by providing pet food to food shelves in the Minneapolis-St. Paul metropolitan area

If you are new to VEAP, you have the opportunity to meet with a member of VEAP’s Social Services team to learn more about other supportive services that are available to you and your family. If you will need a ride home with your groceries, please let us know when you make your appointment. Delivery is also available five days a week to folks with limited mobility.
https://www.facebook.com/VEAPVolunteers/ 
https://veap.org/get-help/veap-programs/food/ ",no,----,,no,----,,"Check https://veap.org/most-needed-items/ for the latest list as needs change weekly

Currently also seeking $25 Target or Walmart gift cards and back-to-school supplies. Backpacks, scientific calculators, headphones, and other higher-priced items are in highest demand due to their cost for struggling families. ","In addition to shelf-stable food and fresh produce, VEAP also accepts and highly encourages donations of household products like laundry detergent, soap, diapers, paper towels, shampoo, toothpaste, deodorant, and all other home and personal hygiene products. 

We also accept canned pet food and supplies (treats, cat litter), as well as children’s books (baby board books, chapter books and middle/high school books) ","Clothing, winter gear, furniture, baby equipment (stroller and car seats), medical equipment, medicine, toys, and utensils. Please visit our resource page for a list of other community partners that may take these items (https://veap.org/where-to-donate-items-veap-cannot-accept/).

Can only accept frozen and refrigerated products from organizations in the food industry and items must be individually labeled with ingredients & source/origin information","Volunteers needed inside our pantry, warehouse and other areas at VEAP.

Additionally, volunteer drivers needed. No experience or vehicle needed. Drivers will drive a VEAP minivan to deliver prepackaged fresh and shelf-stable foods to seniors, participants with disabilities, as well as community members without transportation.

All volunteers ages 18 and older are required to complete a criminal background check prior to volunteering. Volunteer Drivers are also required to pass a motor vehicle check, have a valid driver’s license, and proof of insurance.
Driver shifts are on-site at VEAP and begin every weekday at 9:00 a.m., 11:00 a.m., and 2:00 p.m. Evening driving shifts now available on the 1st and 3rd Thursday of each month at 4:30 - 7:00 p.m.

Info and sign up at https://veap.org/now-seeking-volunteer-van-drivers/",,,,,,,checked,checked,,checked,checked,,,,,,,,,,,,,,,,,,,,,checked,,,,,,checked,https://veap.org/donate/give-today/,,,checked,checked,checked,,,,,,,,535-BUS-(1 block),
Walk-In Counseling Center ,6/5/2024 8:36pm,Phillips,"2421 Chicago Ave, Minneapolis, MN 55404",44.9582918,-93.2623013,"Clinic hours: 
Monday, Wednesday, Friday 1-3 PM  (In-person and virtual)
Monday-Thursday 5:30-7:30 PM (Virtual only)

Free counseling by mobile phone or computer, no appointment, insurance, or identification needed. Services are available in Hmong and Spanish at this number: 612-870-0565. You may have to leave your number to be called back later.

To get counseling by computer use this link: https://zoom.us/j/458270804. To get counseling by phone, go to https://walkin.org/ and use the phone numbers provided.",no,----,,no,----,,,,,"Yes! Seeking volunteer counselors, team consultants, clinic receptionists or administrative assistants to join our clinic teams! Qualified professionals include social workers, psychologists, and marriage and family therapists who are licensed or working toward licensure; chaplains and nurse practitioners with mental health training. A commitment to regular shifts is required.

To learn if you are qualified, and how to apply, visit https://walkin.org/volunteer/ or contact Mary Weeks at mweeks@walkin.org.",,,,,,,,,,,,,,,,,,checked,,,checked,,,,,,,,,,,checked,,,,,,checked,https://walkin.org/donation-form/,,,,,,,,checked,,,,,5-BUS-(1 block),
Walker Foodshare / New City Center for Healing Justice / Grapevine Collective,6/5/2024 8:34pm,Midtown Phillips,"3104 16th Ave S, Minneapolis, MN 55407",44.9463396,-93.2515269,"Groceries and to-go meals distributed every 
Monday: 12pm-2pm. 

All are welcome.

On some Tuesdays and Thursdays, Sisters Camelot distributes additional organic produce and bread from 2:30-3:30pm (or until food is gone). Dates get posted on facebook: https://www.facebook.com/SistersFoodshare",no,not today,,no,not today,,KN95 or N95 face masks,"(as of 1/3/23) Clean paper grocery bags, Ziploc bags",,Yes! We welcome volunteers who can help out at the Foodshare on Mondays starting at 11 am. until 2 pm. We also welcome volunteers with a car who can join our team to pick up food donations over the weekend. Contact Carmen - ellens.carmen@gmail.com.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,checked,"If you feel inclined to give a monetary donation, please write a check to Walker Community United  Methodist Church, write “food share” in the memo area, and mail it to 3104 16th Ave S, Minneapolis, MN 55407.",,,,,,,,checked,,,,,"14-BUS-(1 block),22-BUS-(3 blocks),21-BUS-(2 blocks)",
WBL: White Bear Area Food Shelf,6/5/2024 8:16pm,NE Suburbs,"1884 Whitaker Street, White Bear Lake, Minnesota 55110",45.0753569,-93.0209845,"Curbside pickup distribution hours:
Monday & Tuesday: 4pm - 7pm 
Wednesday & Friday: 11am - 2pm

Donation hours:
Monday & Tuesday: 9am - 6pm
Wednesday, Thursday, Friday: 9am - 2 pm

Donation details: 
Self-serve donation bins for non-perishable items only. Avoid glass items, and don't overfill the bin.

If you wish to donate perishable items, 300+ lbs, or need a receipt, call 651-407-5331.

All are welcome. No appointment needed. 
Directions for curbside pick-up: 
1.When Neighbors arrive at the Food Shelf, they will be given an order form for their food selections, and asked to park in one of the designated spots.
2. When the food order form is complete, please turn on your hazard lights to signify this, and a volunteer will pick up your form.
3. Your order will be fulfilled indoors and brought out to your car. We are asking neighbors to load their own groceries in order to maintain social distancing for everyone. If assistance is needed, please just let us know.

Delivery of Food – If you are unable to get to the Food Shelf, there are options for delivery of food in our area: 
   – Washington County Food Support Line – if you need assistance and live in Washington County, call 651-430-6688. 
  – Metro Mobility – current riders may contact them for delivery at 651-602-1111 or metromobility@metc.state.mn.us

https://whitebearfoodshelf.org/",no,----,,no,----,,,"Financial donations preferred and accepted at https://whitebearfoodshelf.giv.sh/86ec 

Otherwise, non-perishable foods and household/hygiene needs are accepted (https://whitebearfoodshelf.org/food-donations/), and during garden season, homegrown produce (https://whitebearfoodshelf.org/fresh-garden-donations/).

Please place all non-perishable food donations in the Donation Bins in our parking lot. Please bring these items Monday through Friday and help us maintain food safety by leaving items only in the bins with the lids shut. Items left on the ground, outside of the bins, or left with the bins open, as well as any perishable items in the bins, will be thrown out due to food safety concerns. 

For perishable items (bakery, bread, refrigerated food, produce, etc.), donations over 100 pounds, and if you need a donation receipt, please call 651-407-5311 to make a drop-off appointment. ",,"Yes! Curbside Pick-Up Stocker, Greeter and Market volunteer or Scheduler, Food Rescue or Warehouse positions
Information available at https://whitebearfoodshelf.org/volunteer/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Shelf-In-A-Box at Emma B Howe Northeast YMCA,4/10/2024 10:55pm,Northeast,"2304 NE Jackson St, Minneapolis, MN 55418",45.0111286,-93.2495134,"Food Shelf in a Box!  
4th Tuesday of each month: 5pm-7pm

Contact
info@goodinthehood.org
612-217-4003",no,never,,no,----,,,,,"Yes, find info at https://www.goodinthehood.org/volunteer/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32-BUS-(2 blocks),10-BUS-(2 blocks)",
Youthlink - Youth Shelter,6/5/2024 7:58pm,Ventura Village,"41 N 12th St, Minneapolis, MN 55403",44.9763666,-93.2820202,"Drop-in open for youth ages 16-24:
Monday/Tuesday/Thursday/Friday: 9am-4:30pm
Wednesday: 10am-8pm

(Please note the drop-in center is closed on the following holidays: New Year’s Day, Martin Luther King, Jr. Day, Memorial Day, Juneteenth, Independence Day/Fourth of July, Labor Day, Thanksgiving Thursday and Friday, Christmas Eve/Christmas Day)

YouthLink is a nonprofit in downtown Minneapolis that helps young people between the ages of 16 and 24 on their journeys from homeless to hopeful. Supports: basic needs, education, employment, and housing, health and wellness, additional resources and shelter. 

Still have questions? Give our welcome center a call at 612-252-1200

Receiving Donations: 
Drop off Monday-Friday from 8:30am to 5:00pm
Or mail them (41 North 12th Street, Mpls, MN 55403)

Please call ahead if you would like to drop off items outside of these days and hours: 612-252-1200.

You can also order items through our Amazon wish list and have them shipped directly to YouthLink - for more information please visit our website at youthlinkmn.org/get-involved/donate-items/

Extended overnight drop-in and immediate need support available -- call (612) 252-1200 or go to https://www.youthlinkmn.org/i-want-help/  

Always open as a warming shelter regardless of the weather. ",no,----,,no,----,,,"DUE TO THE HIGH VOLUME OF CERTAIN ITEMS WE’VE RECEIVED AND OUR LIMITED STORAGE SPACE, WE ARE ONLY ACCEPTING THE FOLLOWING ITEMS. THANK YOU! 

• Men’s and Women’s underwear & boxers (all sizes, new only)
• Women’s bras and sports bras (all adult sizes, new only)
• Men’s undershirts (all sizes)
• Men’s and women’s winter socks (all sizes, new only)
• Long johns/long underwear (all sizes)
• Sweatshirts & sweatpants
• Backpacks
• Winter hats/gloves/mittens (all sizes)
• Winter Coats
• Winter accessories (Chapstick, hand warmers, blankets, sleeping bags, 1-2 person tents)
• Shoes (athletic shoes, casual sneakers)
• New full and queen-size bed sheets & comforters (or “bed in a bag” sets)
• Home – laundry detergent pods, cleaning supplies, small kitchen items. For housewares, check out this Pampered Chef fundraiser.
• Toiletries (full or travel-size) – body wash, shampoo, conditioner, deodorant, razors, toothpaste, toothbrushes
• Baby supplies – Pacifiers, onesies, diaper bags, bibs, strollers,  pack n’ plays, car seats (unexpired only), bottles, cups, wipes, diapers
• Hair products for textured and curly hair – hydrating shampoos & conditioner, leave-in conditioner, curl cream, scalp care, styling gel/pomade, edge control/smoother and silk or satin bonnets – please visit this website for products youth visiting YouthLink prefer

We encourage you to support black owned businesses – for some ideas please see this article which includes retail: https://mspmag.com/arts-and-culture/black-owned-businesses-in-the-twin-cities/

Amazon wishlist www.amazon.com/hz/wishlist/ls/2AATP95A51WUJ/ref=hz_ls_biz_ex","Anything not listed in accepting.

Items we are not able to accept at all:
Broken, torn, or stained items of any kind
Used bras, underwear or socks
Electronics of any kind
Used toys and stuffed animals
Books
Furniture
Homemade food (due to health code regulations)",Find volunteering info at https://youthlinkmn.galaxydigital.com/,,,,,,,checked,,,,checked,,,,,,,,,,,,,,checked,,,,,,,,,,,,,checked,https://donate.youthlinkmn.org/give/149818/#!/donation/checkout,,,,,,,,,,,,,"4-BUS-(3 blocks),6-BUS-(3 blocks)",
ZACAH,4/10/2024 10:52am,,"4300 Glumack Dr, St. Paul MN 55111",44.8833813,-93.2073315,"ZACAH (Zakat, Aid and Charity Assisting Humanity) is a local 501c(3) that strives to provide support for residents of Minnesota facing poverty and the threat of displacement and unsheltered homelessness, especially from marginalized religious, socioeconomic and ethnic communities. As a grassroots organization with no large donors or grant funding, we are reliant on your trust and support. Please join us in weaving the bonds of a stronger community.

website: https://www.zacah.org/
phone: 651-456-8891
email: contact@zacah.org",no,----,,no,----,,,monetary donations and meals for unhoused residents; functional vehicles for donation (please call (612) 361-9976 for specific needs and drop-off arrangements),,"Yes, email contact@zacah.org",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,https://www.paypal.com/donate?token=zxWOhu6JWPYdqPL40IFwlQ7ksc7c_A6PcTG-H4Dvx2UtUZWv1KYJx4LcXJJADSmxI96mvft8tOJSeYq7,,,,,,,,,,,,,"50-BUS-(2 blocks),60-BUS-(2 blocks),Blue-BLUELINE-(2 blocks)",
Zion Lutheran Church,6/5/2024 7:50pm,Midway,"1697 Lafond Ave, St Paul, MN 55104",44.9604863,-93.1719030,"Distributing a free home cooked meal to each individual and bag of groceries to take home for each household.

Every Thursday 1:00-3:00 pm. 

Please do not arrive before 12:45pm unless you are a volunteer.

https://www.zlcmidway.org/services",no,----,,no,----,,,(as of 8/15) Financial donations accepted by visiting https://zion-church.snwbll.com/giving-portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,https://zion-church.snwbll.com/giving-portal,,,,,,,,,,,,,67-BUS-(2 blocks),
Free Geek,4/5/2023 11:28am,Seward,"2537 25th Ave S, Minneapolis, MN 55406",44.9558919,-93.2356817,"Donation and Distribution
Wed - Sun - 12:00pm-5:00pm

When leaving donations, do the following to help speed up our processing of the equipment!
- Untangle all cords and cables. If you’re able, coil them up with a rubber band or twist tie.
- Attach power adapters to their associated equipment as best as you can–we recommend painters tape and gently placing them in a cardboard box for donating. (power for speakers, routers, etc.)
- Attach remote control to the device it came with (TV, audio receiver, etc.)–we recommend painters tape and gently placing them in a cardboard box for donating.

We are a Twin Cities-based 501(c)(3) non-profit aiming to enable our community with affordable technology and teach them how to use it. We’ve been around since 2009, bringing on volunteers who help refurbish the computers and devices that are donated to us, and in the process we help them learn how to use and build computers themselves. We’re keeping computers out of the landfills and back to the people who need them most.

Online Store; In-person curbside pick up only: https://www.freegeektwincities.org/online-store-landing",no,----,,no,----,,,"Computer Equipment:
Computers of any age and condition (Laptops, Desktops etc, could be broken, missing parts etc)
Tablets, iPads, iPods, Cell Phones

Computer peripherals and components:
Storage Devices (hard drives, solid state drives, SD cards, memory cards)
Any Computer Components (Motherboards, Expansion cards, GPUs, CPUs, RAM Sticks, etc.)
Working LCD/LED (Flat Screen) Monitors
Webcams, Microphones, Headsets, and Headphones
Modems, Routers, Switches and other networking equipment
Cables (any condition, can be broken or cut)
Keyboards and mice

Consumer Electronics:
Video Game Consoles and Video Games
Digital cameras and related accessories
Electronic Toys, Games, and Children’s Devices
Calculators﻿

Audio equipment:
Amplifiers, VCR, CD/DVD and Blue-Ray players, Receivers, Video projectors, Speakers, Radios, Boomboxes

Media:
Note: we do not recycle any media - we only take reusable media that we can distribute to customers / volunteers.
If donating a computer - any media that came with it
Sealed (unused) CDs, DVDs, Floppies, Zip/Floptical disks
Original media for any age games, operating systems, productivity software
VHS, CD, DVD, Blu-ray, audio tapes, etc with original content - movies / albums
Flash drives, memory cards, video game cartridges","Consumer Electronics :
Any type of TVs - LCD, LED, CRT or Projection
CRT monitors
Printers, Scanners, Fax Machines, Toner/Ink/Printer cartridges
Land-Line phones
Solar Panels
Blank or used VHS / Beta and audio tapes

Household Items:
Small household appliances (lamps, vacuum cleaners, microwaves & food appliances etc)
Large household appliances (stoves, washers, dryers, dishwashers)
Light bulbs (Fluorescent, incandescent etc)
Sewing machines
Styrofoam, boxes, books, magazines

Items with Hazardous Materials:
Electronics or appliances that contain refrigerants (such as Freon). This includes air conditioners, dehumidifiers, refrigerators, ice making machines etc.
Electric toothbrushes
Smoke and carbon monoxide detectors
Devices containing liquid mercury
Gas powered devices such as Lawn Mowers, Snow Blowers etc.
Radioactive materials


","Yes! We have tasks that volunteers with different skillsets and interests can do. Walk-ins welcome, but be 16 or older. 
Typical hours: Friday, Saturday, Sunday 12-5pm. 

More info: https://www.freegeektwincities.org/volunteering
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.freegeektwincities.org/donate,,,,,,,,,,,,,"9-BUS-(1 block),7-BUS-(3 blocks)",
Sisters' Camelot Food Share: Park Avenue United Methodist Church,5/14/2024 9:54pm,Powderhorn,"3400 Park Ave, Minneapolis, MN 55407",44.9409817,-93.2678595,"Sisters' Camelot shares food at Park Ave UMC on some Tuesdays & Thursdays. Hours and location vary - see Facebook page for most current information: 
https://www.facebook.com/SistersFoodshare/ 

The beloved kitchen bus needs new tires and other mechanical repairs in order to continue traveling safely. To learn more, share, and/or donate:
Facebook post: https://www.facebook.com/SistersFoodshare/posts/1370004926841779 
GiveMN Campaign: https://www.givemn.org/story/Sq5i5g 

Sisters' Camelot's frequent locations include:
- Walker Church (3104 16th Ave S in Minneapolis)
- Soup for You (2511 Franklin Ave East in Minneapolis)
- Park Avenue Church (3400 Park Avenue South in Minneapolis)
- UROC (2001 Plymouth Ave N in Minneapolis)
- St. Mary's University Center (2540 Park Avenue South in Minneapolis)",no,never,,no,not today,,,"(as of 4/6) Clean paper grocery bags, Ziploc bags",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,https://www.givemn.org/organization/Sisterscamelot,,,,checked,,,,checked,,,,,5-BUS-(2 blocks),checked
Northside Achievement Zone (NAZ),4/5/2023 10:36am,Willard-Hay,"2123 West Broadway Avenue #100, Minneapolis, MN 55411",45.0037327,-93.3079659,"Monday - Friday: 9:00am - 4:30pm

The Northside Achievement Zone (NAZ) exists to permanently close the achievement gap and end generational poverty in North Minneapolis. With partner organizations, NAZ works with low-income families as they put their children on a path to college.

To enroll in NAZ, you must live within North Minneapolis, have at least one child pre-birth to age 18, and be actively enrolled/engaged with one of our referral partners. Families are referred for enrollment into NAZ by our partners. Our ability to accept referrals is dependent on roster sizes.

Services include; Early childhood support and knowledge, mentoring programs, after-school and summer educational support, support the stability of the household, family support, career, finance and adult education support and connections with other families. 

https://northsideachievement.org",no,----,,no,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19-BUS-(1 block),CLine-BUS-(1 block),14-BUS-(1 block)",
